Date,Death,DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,1,0
2020-3-28,2,0
2020-3-29,2,0
2020-3-30,3,0
2020-3-31,3,0
2020-4-1,4,0
2020-4-2,4,0
2020-4-3,5,0
2020-4-4,7,0
2020-4-5,9,0
2020-4-6,9,0
2020-4-7,9,0
2020-4-8,18,0
2020-4-9,18,0
2020-4-10,21,0
2020-4-11,22,0
2020-4-12,23,0
2020-4-13,23,0
2020-4-14,23,0
2020-4-15,32,0
2020-4-16,32,0
2020-4-17,37,0
2020-4-18,37,0
2020-4-19,38,0
2020-4-20,41,0
2020-4-21,42,0
2020-4-22,42,0
2020-4-23,48,0
2020-4-24,51,0
2020-4-25,53,0
2020-4-26,60,0
2020-4-27,60,0
2020-4-28,60,0
2020-4-29,60,0
2020-4-30,66,0
2020-5-1,72,0
2020-5-2,81,0
2020-5-3,84,0
2020-5-4,86,0
2020-5-5,86,0
2020-5-6,92,0
2020-5-7,111,0
2020-5-8,114,0
2020-5-9,121,0
2020-5-10,131,0
2020-5-11,133,0
2020-5-12,133,0
2020-5-13,142,0
2020-5-14,150,0
2020-5-15,159,0
2020-5-16,159,0
2020-5-17,171,0
2020-5-18,172,0
2020-5-19,172,0
2020-5-20,182,0
2020-5-21,190,0
2020-5-22,199,0
2020-5-23,208,0
2020-5-24,208,0
2020-5-25,209,0
2020-5-26,210,0
2020-5-27,214,0
2020-5-28,223,0
2020-5-29,232,0
2020-5-30,238,0
2020-5-31,242,0
2020-6-1,245,0
2020-6-2,245,0
