date,death,positive
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,5
2020-3-7,0,5
2020-3-8,0,5
2020-3-9,0,12
2020-3-10,0,15
2020-3-11,0,18
2020-3-12,0,22
2020-3-13,0,22
2020-3-14,0,22
2020-3-15,0,56
2020-3-16,0,56
2020-3-17,1,63
2020-3-18,2,82
2020-3-19,3,108
2020-3-20,5,175
2020-3-21,5,235
2020-3-22,5,263
2020-3-23,8,287
2020-3-24,9,712
2020-3-25,12,975
2020-3-26,18,1394
2020-3-27,23,1731
2020-3-28,27,2048
2020-3-29,34,2552
2020-3-30,34,2874
2020-3-31,41,3266
2020-4-1,58,3996
2020-4-2,70,4665
2020-4-3,90,5324
2020-4-4,105,6112
2020-4-5,127,6793
2020-4-6,140,7273
2020-4-7,154,8261
2020-4-8,177,9353
2020-4-9,199,10230
2020-4-10,226,11671
2020-4-11,254,12561
2020-4-12,271,13484
2020-4-13,287,13906
2020-4-14,318,14624
2020-4-15,364,15492
2020-4-16,393,16455
2020-4-17,428,17371
2020-4-18,453,18260
2020-4-19,477,18923
2020-4-20,495,19458
2020-4-21,517,20196
2020-4-22,543,21069
2020-4-23,561,21944
2020-4-24,593,22806
2020-4-25,623,23773
2020-4-26,648,24631
2020-4-27,663,25297
2020-4-28,690,26171
2020-4-29,732,27054
2020-4-30,782,28087
2020-5-1,816,29229
2020-5-2,847,30522
2020-5-3,867,31548
2020-5-4,884,32332
2020-5-5,906,33369
2020-5-6,948,34422
2020-5-7,973,35390
2020-5-8,1004,36609
2020-5-9,1049,37860
2020-5-10,1088,38869
2020-5-11,1100,39869
2020-5-12,1133,41048
2020-5-13,1158,42403
2020-5-14,1216,43851
2020-5-15,1272,45198
2020-5-16,1305,46999
2020-5-17,1336,47784
2020-5-18,1347,48693
2020-5-19,1369,49912
2020-5-20,1419,51323
2020-5-21,1440,52268
2020-5-22,1480,53449
2020-5-23,1506,54509
2020-5-24,1506,55348
2020-5-25,1527,55971
2020-5-26,1536,56560
2020-5-27,1562,57921
2020-5-28,1601,59776
2020-5-29,1626,61006
2020-5-30,1626,62338
2020-5-31,1672,64287
2020-6-1,1678,64880
2020-6-2,1698,66568
2020-6-3,1734,68271
2020-6-4,1767,69920
2020-6-5,1788,71613
2020-6-6,1819,73553
2020-6-7,1830,74978
2020-6-8,1830,75616
2020-6-9,1853,77253
2020-6-10,1885,79757
2020-6-11,1920,81583
2020-6-12,1939,83680
2020-6-13,1957,86011
2020-6-14,1976,87854
2020-6-15,1983,89108
2020-6-16,2029,93206
2020-6-17,2062,96335
2020-6-18,2105,99851
2020-6-19,2140,103305
2020-6-20,2165,107735
2020-6-21,2182,111601
2020-6-22,2192,114881
2020-6-23,2220,120370
2020-6-24,2249,125921
2020-6-25,2296,131917
2020-6-26,2324,137624
2020-6-27,2366,143366
2020-6-28,2393,148723
2020-6-29,2403,153011
2020-6-30,2424,159986
2020-7-1,2481,168062
2020-7-2,2525,175977
2020-7-3,2575,183532
2020-7-4,2608,191790
2020-7-5,2637,195239
2020-7-6,2655,200557
2020-7-7,2715,210585
2020-7-8,2813,220564
2020-7-9,2918,230346
2020-7-10,3013,240111
2020-7-11,3112,250462
2020-7-12,3192,258658
2020-7-13,3235,264313
2020-7-14,3322,271574
2020-7-15,3432,282365
2020-7-16,3561,292656
2020-7-17,3735,307572
2020-7-18,3865,317730
2020-7-19,3958,325030
2020-7-20,4020,332434
2020-7-21,4151,341739
2020-7-22,4348,351618
2020-7-23,4521,361125
2020-7-24,4717,369826
2020-7-25,4885,375846
2020-7-26,5038,381656
2020-7-27,5713,385923
2020-7-28,5877,394265
2020-7-29,6190,403307
2020-7-30,6274,412107
2020-7-31,6569,420946
2020-8-1,6837,430485
2020-8-2,6837,436711
2020-8-3,7016,442014
2020-8-4,7261,451181
2020-8-5,7497,459887
2020-8-6,7803,467485
2020-8-7,8096,474524
2020-8-8,8343,481483
2020-8-9,8459,486362
2020-8-10,8490,490817
2020-8-11,8710,500620
2020-8-12,9034,506820
2020-8-13,9289,513575
2020-8-14,9602,520593
2020-8-15,9840,528838
2020-8-16,9983,535042
2020-8-17,10034,542950
2020-8-18,10250,550232
2020-8-19,10559,557256
2020-8-20,10793,562559
2020-8-21,11051,567580
2020-8-22,11266,573139
2020-8-23,11370,577537
2020-8-24,11395,580384
2020-8-25,11576,586730
2020-8-26,11805,592137
2020-8-27,12070,597737
2020-8-28,12266,601768
2020-8-29,12420,606530
2020-8-30,12510,610354
2020-8-31,12536,612969
2020-9-1,12681,617333
2020-9-2,12870,621667
2020-9-3,13091,625347
2020-9-4,13231,630829
2020-9-5,13408,635315
2020-9-6,13472,638310
2020-9-7,13492,640370
2020-9-8,13553,641791
2020-9-9,13692,645791
2020-9-10,13853,649809
2020-9-11,13997,653356
2020-9-12,14143,657589
2020-9-13,14190,659434
2020-9-14,14211,663404
2020-9-15,14343,668746
2020-9-16,14478,674772
2020-9-17,14590,678819
2020-9-18,14713,682241
2020-9-19,14848,686068
2020-9-20,14893,688534
2020-9-21,14917,698387
2020-9-22,14994,716207
2020-9-23,15129,719599
2020-9-24,15267,723919
2020-9-25,15364,728552
2020-9-26,15485,733438
2020-9-27,15522,735132
2020-9-28,15533,739222
2020-9-29,15604,743284
2020-9-30,15711,748967
2020-10-1,15823,752501
2020-10-2,15895,756004
2020-10-3,15992,763010
2020-10-4,16025,765894
2020-10-5,16033,769303
2020-10-6,16111,773435
2020-10-7,16230,777556
2020-10-8,16334,781794
2020-10-9,16432,785830
2020-10-10,16526,790060
2020-10-11,16557,792478
2020-10-12,16558,795126
2020-10-13,16622,800256
2020-10-14,16717,805082
2020-10-15,16812,809808
2020-10-16,16903,815678
2020-10-17,16984,820563
2020-10-18,17014,823779
2020-10-19,17022,825673
2020-10-20,17087,833557
2020-10-21,17201,838809
2020-10-22,17286,845100
2020-10-23,17375,851572
2020-10-24,17456,858071
2020-10-25,17504,862375
2020-10-26,17514,867075
2020-10-27,17595,874367
2020-10-28,17700,879994
2020-10-29,17819,886820
2020-10-30,17934,893451
2020-10-31,18024,900596
2020-11-1,18077,972330
2020-11-2,18097,977785
2020-11-3,18194,988450
2020-11-4,18320,998267
2020-11-5,18453,1008438
2020-11-6,18589,1017677
2020-11-7,18700,1027237
2020-11-8,18743,1034115
2020-11-9,18769,1038964
2020-11-10,18863,1051899
2020-11-11,19004,1065065
2020-11-12,19147,1075654
2020-11-13,19320,1089078
2020-11-14,19470,1100479
2020-11-15,19559,1108402
2020-11-16,19579,1116230
2020-11-17,19696,1129874
2020-11-18,19883,1140861
2020-11-19,20113,1155130
2020-11-20,20296,1168925
2020-11-21,20467,1183847
2020-11-22,20556,1193616
2020-11-23,20588,1201257
2020-11-24,20750,1217837
2020-11-25,20950,1236648
2020-11-26,21156,1251345
2020-11-27,21207,1255332
2020-11-28,21309,1259657
2020-11-29,21357,1266707
2020-11-30,21379,1278432
2020-12-1,21549,1296972
2020-12-2,21756,1316194
2020-12-3,22000,1333746
2020-12-4,22255,1350542
2020-12-5,22502,1364933
2020-12-6,22594,1375313
2020-12-7,22627,1384804
2020-12-8,22808,1404646
2020-12-9,23081,1418252
2020-12-10,23325,1433551
2020-12-11,23551,1448002
2020-12-12,23800,1464362
2020-12-13,23911,1472711
2020-12-14,23937,1481612
2020-12-15,24142,1500538
2020-12-16,24394,1519340
2020-12-17,24660,1539189
2020-12-18,24954,1555981
2020-12-19,25226,1573888
2020-12-20,25348,1581668
2020-12-21,25415,1591948
2020-12-22,25606,1613095
2020-12-23,25900,1636458
2020-12-24,26208,1653522
2020-12-25,26408,1657857
2020-12-26,26421,1660551
2020-12-27,26472,1668597
2020-12-28,26521,1683426
2020-12-29,26762,1715978
2020-12-30,27088,1737447
2020-12-31,27437,1756172
2021-1-1,27771,1772483
2021-1-2,27867,1777246
2021-1-3,27917,1793341
2021-1-4,27969,1811523
2021-1-5,28219,1843153
2021-1-6,28545,1867163
2021-1-7,28938,1891741
2021-1-8,29310,1915261
2021-1-9,29691,1938551
2021-1-10,29877,1954406
2021-1-11,29933,1969240
2021-1-12,30219,1995292
2021-1-13,30624,2022635
2021-1-14,31050,2045699
2021-1-15,31450,2072903
2021-1-16,31831,2097560
2021-1-17,32038,2113962
2021-1-18,32084,2125552
2021-1-19,32394,2135028
2021-1-20,32844,2166283
2021-1-21,33285,2188643
2021-1-22,33707,2211289
2021-1-23,34114,2228961
2021-1-24,34322,2240526
2021-1-25,34394,2246845
2021-1-26,34701,2273119
2021-1-27,35168,2292732
