date,death,positive
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,1
2020-3-9,0,1
2020-3-10,0,1
2020-3-11,0,1
2020-3-12,0,2
2020-3-13,0,2
2020-3-14,0,5
2020-3-15,0,8
2020-3-16,0,12
2020-3-17,0,17
2020-3-18,0,19
2020-3-19,0,21
2020-3-20,2,28
2020-3-21,2,44
2020-3-22,2,52
2020-3-23,5,76
2020-3-24,7,97
2020-3-25,8,125
2020-3-26,9,160
2020-3-27,10,185
2020-3-28,12,213
2020-3-29,12,234
2020-3-30,12,256
2020-3-31,13,293
2020-4-1,16,320
2020-4-2,17,359
2020-4-3,17,390
2020-4-4,20,460
2020-4-5,22,512
2020-4-6,23,543
2020-4-7,23,575
2020-4-8,23,608
2020-4-9,23,631
2020-4-10,24,680
2020-4-11,25,713
2020-4-12,27,733
2020-4-13,28,754
2020-4-14,29,761
2020-4-15,30,770
2020-4-16,35,779
2020-4-17,35,792
2020-4-18,38,802
2020-4-19,38,813
2020-4-20,38,817
2020-4-21,40,820
2020-4-22,40,828
2020-4-23,43,831
2020-4-24,44,834
2020-4-25,46,843
2020-4-26,46,852
2020-4-27,47,855
2020-4-28,47,862
2020-4-29,47,862
2020-4-30,49,866
2020-5-1,50,879
2020-5-2,51,885
2020-5-3,52,896
2020-5-4,52,901
2020-5-5,52,906
2020-5-6,52,909
2020-5-7,53,914
2020-5-8,53,916
2020-5-9,53,918
2020-5-10,53,926
2020-5-11,53,926
2020-5-12,53,927
2020-5-13,53,929
2020-5-14,53,930
2020-5-15,53,931
2020-5-16,53,932
2020-5-17,54,940
2020-5-18,54,940
2020-5-19,54,944
2020-5-20,54,945
2020-5-21,54,950
2020-5-22,54,952
2020-5-23,54,954
2020-5-24,54,957
2020-5-25,54,963
2020-5-26,54,968
2020-5-27,54,970
2020-5-28,55,974
2020-5-29,55,975
2020-5-30,55,977
2020-5-31,55,981
2020-6-1,55,985
2020-6-2,55,987
2020-6-3,55,989
2020-6-4,55,1025
2020-6-5,55,1027
2020-6-6,55,1044
2020-6-7,55,1061
2020-6-8,55,1073
2020-6-9,55,1081
2020-6-10,55,1092
2020-6-11,55,1108
2020-6-12,55,1118
2020-6-13,55,1123
2020-6-14,55,1125
2020-6-15,55,1126
2020-6-16,55,1129
2020-6-17,55,1129
2020-6-18,56,1135
2020-6-19,56,1143
2020-6-20,56,1147
2020-6-21,56,1159
2020-6-22,56,1163
2020-6-23,56,1165
2020-6-24,56,1185
2020-6-25,56,1192
2020-6-26,56,1199
2020-6-27,56,1201
2020-6-28,56,1204
2020-6-29,56,1210
2020-6-30,56,1210
2020-7-1,56,1212
2020-7-2,56,1229
2020-7-3,56,1238
2020-7-4,56,1240
2020-7-5,56,1251
2020-7-6,56,1253
2020-7-7,56,1256
2020-7-8,56,1258
2020-7-9,56,1272
2020-7-10,56,1277
2020-7-11,56,1282
2020-7-12,56,1295
2020-7-13,56,1301
2020-7-14,56,1305
2020-7-15,56,1317
2020-7-16,56,1327
2020-7-17,56,1336
2020-7-18,56,1339
2020-7-19,56,1349
2020-7-20,56,1359
2020-7-21,56,1366
2020-7-22,56,1368
2020-7-23,56,1379
2020-7-24,56,1384
2020-7-25,56,1397
2020-7-26,56,1401
2020-7-27,56,1403
2020-7-28,56,1406
2020-7-29,56,1407
2020-7-30,57,1408
2020-7-31,57,1416
2020-8-1,57,1421
2020-8-2,57,1425
2020-8-3,57,1426
2020-8-4,57,1431
2020-8-5,57,1436
2020-8-6,58,1446
2020-8-7,58,1447
2020-8-8,58,1453
2020-8-9,58,1458
2020-8-10,58,1461
2020-8-11,58,1473
2020-8-12,58,1478
2020-8-13,58,1484
2020-8-14,58,1501
2020-8-15,58,1510
2020-8-16,58,1515
2020-8-17,58,1527
2020-8-18,58,1530
2020-8-19,58,1532
2020-8-20,58,1536
2020-8-21,58,1540
2020-8-22,58,1551
2020-8-23,58,1556
2020-8-24,58,1564
2020-8-25,58,1570
2020-8-26,58,1574
2020-8-27,58,1585
2020-8-28,58,1589
2020-8-29,58,1601
2020-8-30,58,1612
2020-8-31,58,1617
2020-9-1,58,1623
2020-9-2,58,1625
2020-9-3,58,1630
2020-9-4,58,1640
2020-9-5,58,1645
2020-9-6,58,1646
2020-9-7,58,1650
2020-9-8,58,1652
2020-9-9,58,1657
2020-9-10,58,1660
2020-9-11,58,1668
2020-9-12,58,1677
2020-9-13,58,1684
2020-9-14,58,1695
2020-9-15,58,1702
2020-9-16,58,1704
2020-9-17,58,1707
2020-9-18,58,1709
2020-9-19,58,1713
2020-9-20,58,1718
2020-9-21,58,1722
2020-9-22,58,1724
2020-9-23,58,1725
2020-9-24,58,1727
2020-9-25,58,1734
2020-9-26,58,1744
2020-9-27,58,1746
2020-9-28,58,1749
2020-9-29,58,1753
2020-9-30,58,1756
2020-10-1,58,1759
2020-10-2,58,1773
2020-10-3,58,1782
2020-10-4,58,1788
2020-10-5,58,1821
2020-10-6,58,1825
2020-10-7,58,1832
2020-10-8,58,1843
2020-10-9,58,1851
2020-10-10,58,1861
2020-10-11,58,1871
2020-10-12,58,1880
2020-10-13,58,1891
2020-10-14,58,1894
2020-10-15,58,1910
2020-10-16,58,1923
2020-10-17,58,1932
2020-10-18,58,1943
2020-10-19,58,1951
2020-10-20,58,1963
2020-10-21,58,1983
2020-10-22,58,1999
2020-10-23,58,2029
2020-10-24,58,2057
2020-10-25,58,2087
2020-10-26,58,2096
2020-10-27,58,2127
2020-10-28,58,2138
2020-10-29,58,2154
2020-10-30,58,2173
2020-10-31,58,2195
2020-11-1,58,2212
2020-11-2,58,2235
2020-11-3,58,2257
2020-11-4,58,2288
2020-11-5,58,2326
2020-11-6,58,2354
2020-11-7,59,2382
2020-11-8,59,2436
2020-11-9,59,2461
2020-11-10,59,2513
2020-11-11,59,2602
2020-11-12,59,2727
2020-11-13,59,2829
2020-11-14,59,2927
2020-11-15,59,2971
2020-11-16,59,3095
2020-11-17,59,3201
2020-11-18,60,3255
2020-11-19,61,3407
2020-11-20,62,3551
2020-11-21,63,3639
2020-11-22,63,3727
2020-11-23,63,3795
2020-11-24,64,3845
2020-11-25,64,3938
2020-11-26,64,4017
2020-11-27,67,4115
2020-11-28,67,4155
2020-11-29,67,4225
2020-11-30,69,4296
2020-12-1,72,4365
2020-12-2,74,4466
2020-12-3,75,4690
2020-12-4,77,4763
2020-12-5,79,4894
2020-12-6,79,5015
2020-12-7,81,5080
2020-12-8,85,5180
2020-12-9,86,5285
2020-12-10,89,5413
2020-12-11,93,5541
2020-12-12,95,5626
2020-12-13,95,5753
2020-12-14,96,5857
2020-12-15,100,5923
2020-12-16,105,6009
2020-12-17,105,6149
2020-12-18,107,6243
2020-12-19,108,6343
2020-12-20,111,6443
2020-12-21,111,6534
2020-12-22,112,6608
2020-12-23,117,6680
2020-12-24,120,6781
2020-12-25,120,6781
2020-12-26,121,6966
2020-12-27,127,7029
2020-12-28,129,7120
2020-12-29,130,7202
2020-12-30,134,7276
2020-12-31,136,7412
2021-1-1,136,7412
2021-1-2,139,7689
2021-1-3,140,7793
2021-1-4,144,7873
2021-1-5,149,8038
2021-1-6,152,8158
2021-1-7,155,8403
2021-1-8,156,8619
2021-1-9,156,8790
2021-1-10,156,8967
2021-1-11,156,9078
2021-1-12,158,9247
2021-1-13,158,9368
2021-1-14,162,9573
2021-1-15,163,9734
2021-1-16,163,9915
2021-1-17,163,10057
2021-1-18,163,10220
2021-1-19,163,10321
2021-1-20,165,10471
2021-1-21,168,10580
2021-1-22,169,10759
2021-1-23,170,10908
2021-1-24,170,11033
2021-1-25,171,11165
2021-1-26,171,11285
2021-1-27,172,11379
2021-1-28,172,11523
2021-1-29,172,11658
2021-1-30,173,11831
2021-1-31,174,11965
2021-2-1,175,12083
2021-2-2,176,12196
2021-2-3,179,12329
2021-2-4,181,12503
2021-2-5,181,12612
2021-2-6,182,12766
2021-2-7,183,12900
2021-2-8,183,13046
2021-2-9,186,13105
2021-2-10,187,13122
2021-2-11,188,13249
2021-2-12,189,13415
2021-2-13,189,13561
2021-2-14,189,13677
2021-2-15,190,13862
2021-2-16,191,13917
2021-2-17,191,13996
2021-2-18,193,14149
2021-2-19,193,14251
2021-2-20,196,14359
2021-2-21,197,14493
2021-2-22,198,14608
2021-2-23,199,14691
2021-2-24,201,14768
2021-2-25,203,14840
2021-2-26,204,14963
2021-2-27,204,15098
2021-2-28,204,15198
2021-3-1,205,15284
2021-3-2,206,15372
2021-3-3,207,15487
